TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionSpan,Outlier_Attempts,AgeGroup,Target
14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,572.0,0,60+,1
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,495.0,0,60+,0
126.29,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,482.0,0,18-30,1
184.5,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,548.0,0,18-30,1
13.45,Credit,Atlanta,Online,23.0,Student,198.0,1.0,7429.4,384.0,0,18-30,0
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,580.0,0,<18,0
7.08,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,627.0,0,31-40,0
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,545.0,0,60+,2
106.23,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,593.0,0,51-60,1
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,583.0,0,51-60,3
17.78,Credit,Albuquerque,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,600.0,0,51-60,1
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,636.0,0,18-30,0
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,515.0,0,18-30,3
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,349.0,0,18-30,3
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,629.0,0,<18,0
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,327.0,0,31-40,3
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,370.00000000000006,0,18-30,0
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,325.0,0,31-40,2
18.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.369999999999,621.0,0,51-60,0
71.48,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,514.0,0,<18,0
59.32,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,614.0,0,60+,1
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,450.0,0,31-40,1
